# author: Mathias Hauser (mathias.hauser@env.ethz.ch)
# script: warming_levels.py
# executed: 2021-01-19 18:06:18
# reference years: 1850 to 1900
# NOTE: may include simulations starting after 1850!
model, ensemble, exp, warming_level, start_year, end_year
BNU-ESM, r1i1p1, rcp26, 1.0, 1984, 2003
CCSM4, r1i1p1, rcp26, 1.0, 1988, 2007
CESM1-CAM5, r1i1p1, rcp26, 1.0, 2002, 2021
CNRM-CM5, r1i1p1, rcp26, 1.0, 2003, 2022
CSIRO-Mk3-6-0, r1i1p1, rcp26, 1.0, 2005, 2024
CanESM2, r1i1p1, rcp26, 1.0, 1992, 2011
EC-EARTH, r8i1p1, rcp26, 1.0, 1989, 2008
FGOALS-g2, r1i1p1, rcp26, 1.0, 2014, 2033
FIO-ESM, r1i1p1, rcp26, 1.0, 1996, 2015
GFDL-CM3, r1i1p1, rcp26, 1.0, 1999, 2018
GFDL-ESM2G, r1i1p1, rcp26, 1.0, 2004, 2023
GFDL-ESM2M, r1i1p1, rcp26, 1.0, 2002, 2021
GISS-E2-H, r1i1p1, rcp26, 1.0, 1993, 2012
GISS-E2-R, r1i1p1, rcp26, 1.0, 2004, 2023
HadGEM2-AO, r1i1p1, rcp26, 1.0, 2009, 2028
HadGEM2-ES, r1i1p1, rcp26, 1.0, 2001, 2020
IPSL-CM5A-LR, r1i1p1, rcp26, 1.0, 1985, 2004
IPSL-CM5A-MR, r1i1p1, rcp26, 1.0, 1992, 2011
MIROC5, r1i1p1, rcp26, 1.0, 2008, 2027
MPI-ESM-LR, r1i1p1, rcp26, 1.0, 1994, 2013
MPI-ESM-MR, r1i1p1, rcp26, 1.0, 1991, 2010
MRI-CGCM3, r1i1p1, rcp26, 1.0, 2023, 2042
NorESM1-ME, r1i1p1, rcp26, 1.0, 2008, 2027
NorESM1-M, r1i1p1, rcp26, 1.0, 2008, 2027
bcc-csm1-1-m, r1i1p1, rcp26, 1.0, 1986, 2005
bcc-csm1-1, r1i1p1, rcp26, 1.0, 1988, 2007
ACCESS1-0, r1i1p1, rcp45, 1.0, 2001, 2020
ACCESS1-3, r1i1p1, rcp45, 1.0, 2007, 2026
BNU-ESM, r1i1p1, rcp45, 1.0, 1984, 2003
CCSM4, r1i1p1, rcp45, 1.0, 1988, 2007
CESM1-BGC, r1i1p1, rcp45, 1.0, 1990, 2009
CESM1-CAM5, r1i1p1, rcp45, 1.0, 2004, 2023
CMCC-CMS, r1i1p1, rcp45, 1.0, 2008, 2027
CMCC-CM, r1i1p1, rcp45, 1.0, 2005, 2024
CNRM-CM5, r1i1p1, rcp45, 1.0, 2002, 2021
CSIRO-Mk3-6-0, r1i1p1, rcp45, 1.0, 2010, 2029
CSIRO-Mk3L-1-2, r1i2p1, rcp45, 1.0, 2005, 2024
