# author: Mathias Hauser (mathias.hauser@env.ethz.ch)
# script: warming_levels.py
# executed: 2021-01-19 18:06:07
# reference years: 1850 to 1900
# NOTE: may include simulations starting after 1850!
model, ensemble, exp, warming_level, start_year, end_year
BNU-ESM, r1i1p1, rcp26, 1.0, 1984, 2003
CCSM4, r1i1p1, rcp26, 1.0, 1988, 2007
CCSM4, r2i1p1, rcp26, 1.0, 1986, 2005
CCSM4, r3i1p1, rcp26, 1.0, 1989, 2008
CCSM4, r4i1p1, rcp26, 1.0, 1986, 2005
CCSM4, r5i1p1, rcp26, 1.0, 1988, 2007
CCSM4, r6i1p1, rcp26, 1.0, 1987, 2006
CESM1-CAM5, r1i1p1, rcp26, 1.0, 2002, 2021
CESM1-CAM5, r2i1p1, rcp26, 1.0, 2006, 2025
CESM1-CAM5, r3i1p1, rcp26, 1.0, 2005, 2024
CNRM-CM5, r1i1p1, rcp26, 1.0, 2003, 2022
CSIRO-Mk3-6-0, r1i1p1, rcp26, 1.0, 2005, 2024
CSIRO-Mk3-6-0, r2i1p1, rcp26, 1.0, 2007, 2026
CSIRO-Mk3-6-0, r3i1p1, rcp26, 1.0, 2003, 2022
CSIRO-Mk3-6-0, r4i1p1, rcp26, 1.0, 2008, 2027
CSIRO-Mk3-6-0, r5i1p1, rcp26, 1.0, 2002, 2021
CSIRO-Mk3-6-0, r6i1p1, rcp26, 1.0, 2005, 2024
CSIRO-Mk3-6-0, r7i1p1, rcp26, 1.0, 2004, 2023
CSIRO-Mk3-6-0, r8i1p1, rcp26, 1.0, 2005, 2024
CSIRO-Mk3-6-0, r9i1p1, rcp26, 1.0, 2006, 2025
CSIRO-Mk3-6-0, r10i1p1, rcp26, 1.0, 2005, 2024
CanESM2, r1i1p1, rcp26, 1.0, 1992, 2011
CanESM2, r2i1p1, rcp26, 1.0, 1994, 2013
CanESM2, r3i1p1, rcp26, 1.0, 1993, 2012
CanESM2, r4i1p1, rcp26, 1.0, 1993, 2012
CanESM2, r5i1p1, rcp26, 1.0, 1993, 2012
EC-EARTH, r8i1p1, rcp26, 1.0, 1989, 2008
EC-EARTH, r12i1p1, rcp26, 1.0, 1994, 2013
FGOALS-g2, r1i1p1, rcp26, 1.0, 2014, 2033
FIO-ESM, r1i1p1, rcp26, 1.0, 1996, 2015
FIO-ESM, r2i1p1, rcp26, 1.0, 1996, 2015
FIO-ESM, r3i1p1, rcp26, 1.0, 1991, 2010
GFDL-CM3, r1i1p1, rcp26, 1.0, 1999, 2018
GFDL-ESM2G, r1i1p1, rcp26, 1.0, 2004, 2023
GFDL-ESM2M, r1i1p1, rcp26, 1.0, 2002, 2021
GISS-E2-H, r1i1p1, rcp26, 1.0, 1993, 2012
GISS-E2-H, r1i1p2, rcp26, 1.0, 1997, 2016
